;;Stadhuis, informatiepunt;Markt 87;10.00-17.00;12.00-17.00;Alice Kooij;015-2197158;;;ja;;Ontworpen door architect Hendrick de Keyser in renaissancestijl. In 1618-1620 na een brand gebouwd rond restanten van het oude stadhuis. De romp van de toren, 'Het Steen', dateert uit de 13de eeuw en was oorspronkelijk een gevangentoren van een grafelijk hof dat in 1436 aan de stad Delft overging. Toren in 15de eeuw met klokkenverdieping verhoogd. In de toren oude gevangenisruimte. Bij restauraties 1962-1966 en 1980-1981 is 17de-eeuwse toestand van exterieur en interieur zoveel mogelijk gereconstrueerd. ;
;;DOK, activiteitenlocatie;Vesteplein 100;10.00-17.00;;Loek Middendorp;015-2123450;;;ja;Nog niks bekend;Gebouw waarin zijn samengevoegd de Openbare Bibliotheek, muziekuitleen DiscoTake en kunstuitleen Kunstcentrum Delft. In gebruik genomen mei 2007. Gebouw ontstaan door zeer ingrijpende verbouwing en uitbreiding van voormalige supermarkt C 1000, waarvan alleen het casco werd hergebruikt. Ontwerp van Liesbeth van der Pol (Atelier Zeinstra en Van de Pol). In het gebouw is een 'historische Delftse hoek' met een uitgebreide collectie boeken over de historie van Delft waarin onder meer de bibliotheek van de historische vereniging Delfia Batavorum is opgenomen.;
nee;1;Fundatie van Renswoude;Oude Delft 49;10.00-17.00;;M.J. Leupen;015-2134097;;ja;nee;Rondleidingen;In 1754 gesticht bij testament door Maria Duyst van Voorhout, vrijvrouwe van Renswoude, als onderwijsinstituut en weeshuis voor begaafde weesjongens. Het gebouw werd in Lodewijk XV-stijl ontworpen door Joseph Bollina en gebouwd in 1756-1759. Op de begane grond zeer rijke interieurs in gang, regentenkamer en regentessenkamer, met rococo stucwerk ook ontworpen door Bollina. In regentenkamer origineel, onlangs gerestaureerd, 18de-eeuws veloursbehang. ;
nee;2;Unesco/IHE;Oude Delft 95;10.00-17.00;;Laura Kwak;015- 2151710;;ja;nee;Rondleidingen;"Grootste patriciërshuis ooit in Delft gebouwd (1717-1720); in Lodewijk XIV-stijl met versierde ingangspartij en gootlijst. Tot Franse tijd particulier bezit. Later o.a. huisvesting departementaal bestuur Bataafse Republiek, Artillerie/Genieschool, militair hospitaal, Koninklijke Academie (voorloper TU). In 19de eeuw verbonden met onderwijsgebouwen aan de Westvest. Complex sinds 1960 onderwijsgebouw van het IHE, later onder de vlag van UNESCO/IHE. Gebouw aan Oude Delft in 1990-1992 gerestaureerd, waarbij de bestaande stijlkamers in oude luister zijn hersteld.";
nee;3;Sociëteit Het Meisjeshuis;Oude Delft 73;10.00-17.00;;Carlien van der Zwet;015-2159962;;;ja;;Weeshuisgebouw geheel nieuw opgetrokken in 1769, naar ontwerp in Lodewijk XV-stijl van ‘stadsfabriek’ (stadsbouwmeester) Nicolaas Terburgh. Opzet met voor- en achtergebouw en smal tussenlid. Voorgebouw met fraaie voorgevel en interieurs bestemd voor representatieve functies zoals vergaderingen van de regenten. Soberder achtergebouw, oorspronkelijk met keuken en werk- en woonruimten voor de weesmeisjes. In 2005 na verbouwing en restauratie in gebruik gekomen bij het Erfgoedhuis Zuid-Holland en Sociëteit Het Meisjeshuis. Tuinhek in ‘neo-18de-eeuwse trant’ uit begin 20ste eeuw.;
nee;4;St. Hippolytuskapel;Oude Delft 118;10.00-16.00;;Job Duijndam;015-2125391;;ja;ja;Tentoonstelling kerkelijk erfgoed en rondleidingen.;Kort na 1400 gebouwd als kapel bij het Heilige Geestzusterhuis. Na reformatie enige tijd militair Generaliteitsmagazijn en pakhuis. In 1919 voorgevel en in 1924 rest van het gebouw gerestaureerd waarbij het uiterlijk op grond van bouwsporen werd gereconstrueerd. Daarna enige tijd in gebruik als aula van de Technische Hogeschool. In 1987 is het torentje gerestaureerd. Na diverse functies thans weer in gebruik als rooms-katholiek kapel. In 2003 is de kap hersteld en is er een leibedekking op aangebracht. ;
nee;5;Oude Kerk;Heilige Geestkerkhof 25;10.00-17.00;;Rene Strengholt;015-8804887 ;06-17008025;ja;ja;10.30 uur Orgelspel door Marcel Tichem 11.30 uur Klassiek ensemble Musica Animato, klassieke werken van Barok tot Romantiek 12.30 uur Rondleiding (verzamelen voor de preekstoel) 13.30 uur Muziekvereniging Prins Hendrik 14.30 uur Rondleiding (verzamelen voor de preekstoel) 15.30 uur Oratoriumvereniging Cantarella o.l.v. Johan Sonneveld zingt delen uit het Oratorium Paulus van Felix Mendelsohn Bartholdy;Oudste parochiekerk van Delft. Gesticht omstreeks 1200. Huidige gebouw in opeenvolgende bouw- en verbouwperiodes ontstaan. Oudste delen 14de-eeuws, vooral de ongeveer 75 meter hoge toren uit 1325-1350. Laatste uitbreidingen aan de zijde van de Oude Kerkstraat uit 1510-1536, met natuurstenen gevels, uitgevoerd in Brabantse gotiek, ontworpen door Antonis Keldermans uit Mechelen. Interessant interieur. Preekstoel uit 1548 met bijzonder houtsnijwerk in renaissancestijl. Praalgraven van zeehelden Piet Heyn en Maarten Harpertsz. Tromp uit 17de eeuw. Vele oude grafzerken.;
nee;6;Gemeentearchief;Oude Delft 169;10.00-17.00;;;;;;nee;;Groot woonhuis op haakvormige plattegrond, rechts diep gedeelte met opslagzolders, links zijhuis met entree. In binnenhoek traptoren. Pand, vanouds genaamd Het Wapen van Savoyen, grotendeels in 1565 gebouwd voor Jan Peere Busijn. Laatgotische ingangspartij begin 18de eeuw door de huidige vervangen. Van 1787 tot 1807 in gebruik als kazerne, en vervolgens tot 1816, als Latijnse School. In de voorgevel gevelsteen uit 1616, afkomstig van Latijnse School aan de Schoolstraat. In 1953-1957 ingrijpend gerestaureerd voor bestemming van gemeentearchief.;
nee;7;Waalse kerk;Oude Delft 179;10.00-17.00;;Dick van Santen;015-2126080;;ja;ja;Rondleidingen;"Oostelijke gedeelte van de 15de-eeuwse kapel van het St.-Agathaklooster (nu Museum Het Prinsenhof). Sinds 1585 in gebruik als Franse ofwel Waalse kerk. In het koor het graf met grote grafzerk (1666) van Emanuel van Portugal die gehuwd was met een dochter van Willem van Oranje en in een deel van het Prinsenhof woonde.  Preekstoel eind 18de eeuw; orgel 1869. In sacristie aan de zijde van de Oude Delft fraai laatgotisch gewelf, maar de buitengevel in 1755 gemoderniseerd. Restauratie 1950-1960.";
nee;8;Kamer van Charitaten;Schoolstraat 5;10.00-17.00;;;;;;nee;;;
